start_index,batch_size,elapsed_ms,ms_per_text
0,16,4636.394,289.775
16,16,6755.246,422.203
32,16,5468.271,341.767
48,16,5188.885,324.305
64,16,5375.712,335.982
80,16,5392.368,337.023
96,16,5417.604,338.6
112,16,5812.292,363.268
128,16,5347.769,334.236
144,16,5750.957,359.435
160,16,6673.927,417.12
176,16,36277.595,2267.35
192,16,99303.039,6206.44
208,16,24997.465,1562.342
224,16,29789.575,1861.848
240,16,44626.572,2789.161
256,16,34115.831,2132.239
272,16,41437.135,2589.821
288,16,48897.155,3056.072
304,16,41750.439,2609.402
320,16,138262.812,8641.426
336,16,25467.614,1591.726
352,16,29664.156,1854.01
368,16,31684.903,1980.306
384,16,38359.799,2397.487
400,16,30353.636,1897.102
416,16,34972.333,2185.771
432,16,33997.771,2124.861
448,16,44110.223,2756.889
464,16,16563.776,1035.236
480,16,7148.808,446.801
496,16,5987.761,374.235
512,16,5665.463,354.091
528,16,4830.493,301.906
544,16,6304.579,394.036
560,16,5235.082,327.193
576,16,12058.952,753.684
592,16,34331.284,2145.705
608,16,63893.067,3993.317
624,16,28656.352,1791.022
640,16,24642.662,1540.166
656,16,30412.511,1900.782
672,16,506222.875,31638.93
688,16,42394.064,2649.629
704,16,40234.042,2514.628
720,16,20336.318,1271.02
736,16,35283.426,2205.214
752,16,30510.038,1906.877
768,16,56165.954,3510.372
784,16,24693.929,1543.371
800,16,11453.773,715.861
816,16,33851.49,2115.718
832,16,14692.939,918.309
848,16,6197.523,387.345
864,16,7402.5,462.656
880,16,3480.111,217.507
896,16,5396.099,337.256
912,16,7863.576,491.473
928,16,5795.269,362.204
944,16,6625.454,414.091
960,16,5669.932,354.371
976,16,5787.936,361.746
992,16,5127.004,320.438
1008,16,1800.989,112.562
1024,16,5964.905,372.807
1040,16,5251.368,328.21
1056,16,6665.751,416.609
1072,16,5885.585,367.849
1088,16,5332.932,333.308
1104,16,5542.345,346.397
1120,16,5399.643,337.478
1136,16,14058.215,878.638
1152,16,13380.757,836.297
1168,16,4832.127,302.008
1184,16,49910.706,3119.419
1200,16,92528.867,5783.054
1216,16,59532.884,3720.805
1232,16,69073.407,4317.088
1248,16,56819.15,3551.197
1264,16,73936.838,4621.052
1280,16,66793.506,4174.594
1296,16,59711.296,3731.956
1312,16,62739.076,3921.192
1328,16,53802.312,3362.644
1344,16,50958.945,3184.934
1360,16,47803.771,2987.736
1376,16,959726.289,59982.893
1392,16,11551010.545,721938.159
1408,16,42758.961,2672.435
1424,16,31299.716,1956.232
1440,12,26675.65,2222.971
